treatment	pieces	gender	slice_cond	genderd	taste_general	taste_first	sat_first	enj_first	taste_middle	sat_middle	enj_middle	taste_last	sat_last	enj_last	ate_more_pizza	was_hungry	am_hungry	feel_guilty	physic_uncomf	overate	ate_more_general	felt_rushed	mmff	salad	calories	mixedgroup	male_1	group	id
2	1	2	1	0	7	7	7	7							1	7	1	1	1	1	1	1	3		700	1		3	64
2	0	2		0									6			6	1	1	1	1	1	1	4		0	0		3	65
2	1	2	1	0	8	8	8	8							1	8	1	1	1	1	1	1	3	3.5	180	1		6	66
2	2	1	2	1	6	6	6	6				6	6	6	3	6	2	7	2	5	6	5	1	7.6	200	1	1	4	67
2	3	1	3	1	9	9	9	9	9	9	9	9	9	9	1	9	1	1	1	2	2	2	1	5.2	500	1	0	2	68
2	2	1	2	1	7	7	7	7				7	7	7	4	9	1	1	1	1	1	1	2	6.6	500	0		2	69
2	3	1	3	1	9	9	9	9	9	9	9	9	9	9	1	8	4	1	1	1	1	1	1		700	1	1	3	70
2	3	2	3	0	9	9	9	9	9	9	9	9	9	9	6	9	1	5	1	1	5	1	4			0		3	71
2	3	2	3	0	9	9	9	9	9	9	9	9	9	9	1	9	1	1	1	1	1	1		0				3	72
2	1	1	1	1	9	9	9	9							1	8	1	2	2	2	2	2	1		250	1	0	6	73
2	2	1	2	1	9	9	9	9				9	9	9	1	7	1	1	1	1	1	1	1	9.2	400	1	0	6	74
2	2.4	2		0												8	1	7	3	8	8	1	3		300	1		6	75
2	2	2	2	0	4	4	3	4				4	4	4	3	9	1	1	2	3	5	1	3	7.9	450	1		5	76
2	1	1	1	1	6	6	6	7							1	4	1	1	1	1	1	1	1	7.4	200	1	0	5	77
2	3	2	3	0	9	9	6	9	8	8	8	8	8	8	6	9	5	8	4	5	5	5	3	1	600	1		5	78
2	4	1		1	7	6	4	4	6	5	5	5	4	4	1	4	1	1	3	1	1	1	1	6.3	800	1	0	5	79
1	4	1		1	6	7			8			8			4	7	1	1	1	1	1	1		7.7	600		0	1	80
1	2	2	2	0	3	5	5	5	3	3	3	3	3	3	8	8	1	7	3	3	6	2	3	12.2	300	1		2	81
1	4	1		1	8	8			8			8			7	5	2	3	3	3		7	1	3.5	200	1	1	2	82
1	2	1	2	1	7	7	7	7				7	7	7	5	5	1	2	1	1	8	1	1	6.1		1	1	2	83
1	0.3	2		0	7	7	7	7	7	7	7	7	7	7	8	5	1	6	8	6	6	1	3	3.3	50	1		2	84
2	0	1		1	2	3	1	4	7	9	6	6	4	8	4	3	5	7	4	6	5	6			0		0	5	85
2	3	2	3	0	7	7	7	7	6	7	7	7	7	7	8	8	1	5	1	5	5	1		1	600			5	86
2	1	2	1	0	9	9	9	9							1	9	1	7	5	6	6	1	3	8.2	200	1		2	87
2	2	1	2	1	8	8	8	8				8	8	8	8	5	2	1	1	1	2	1	1	7.7	350	1	1	2	88
2	0	1		1												5	1	1	1	1	1	1		3.3	0			1	89
2	1	1	1	1	8	8	7	8	8	8	8				1	7	4	1	1	1	1	1	1	7.2	250	1	0	3	90
2	1	2	1	0	9	9	9	9	9	9	9	9	9	9	1	2	1	2	1	1	3	1	3	5.9	200	1		3	91
2	2	1	2	1	5	5	5	5			7			4	4	7	6	2		1	1	2		8.5					92
2	0	2		0												5	1	1	1	1	2	8	3	7.6		1		2	93
2	1	2	1	0	5			5								4							4			0		4	94
2	1		1		5	4	6	4								5	1	5	7		5	1		3.2	100			4	95
1	1	1	1	1	7	7	7	7	5	5	5	5	5	5	1	3	1	1	1	1	1	1	1	5	200	1	0	5	96
1	3	1	3	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5.5	500	1	0	5	97
1	1	2	1	0	6	6	5	5	6	6	5	6	6	5	2	8	4	3	4	4	4	5	3	5.5	250	1		5	98
1	1	2	1	0	5	5	5	5							1	5	1	1	1	1	1	7	3	5.4	250	1		5	99
1	3	1	3	1	7	7	7	7	6	6	6	4	4	4	4	6	2	4	3	4	4	5	1	0	600	1	0	5	100
1	1	1	1	1	7	6	7	6	8	7		6	7	7	7	4	4	4	4	4	3	3	2	0.3	600	0		2	101
1	1	1	1	1	7	6	6	6	6	6	6	6	6	6	6	3	3	3	3	3	3	3	2	0.3	500	0		2	102
1	4	1		1	6	7	7	7	5	5	5	4	4	4	5	7	4	3	2	2	3	2	1	0	1000	1	0	6	103
1	6	1		1	7	7	8	8	8	6	6	8	5	5	9	9	1	8	1	8	9	1	1	4.6	900	1	0	6	104
1	8	1		1	6	6	9	6	6	9	6	6	9	6	3	7	3	2	2	2	2	2	1		1250	1	0	6	105
1	5	1		1	8	8	8	8	6	6	6	5	5	5	5	9	1	1	3	8	8	1	1	0	500	1	0	6	106
1	5	1		1	7	8	8	8	6	7	7	6	7	6	8	7	2	3	4	7	7	3	1		650	1	1	2	107
1	2	2	2	0	7	7	7	7				5	5	5	3	6	3	2	2	2	2	2	3	7	200	1		2	108
1	2	2	2	0	3	5	7	6	4	4	6	2	2	2	2	3	1	2	7	6	3	1	3		600	1		6	109
1	5	1		1	7	8	6	7	7	6	6	6	7	6	1	9	4	2	2	2	2	6	1	0.4	750	1	0	6	110
2	2	2	2	0	9	9	9	9				9	9	9	3	9	1	1	1	1	1	1	4	7.9	1	0		2	111
2	2	2	2	0	9	9	9	9	9	9	9	9	9	9	9	9	1	9	1	1	1	1	4	3.3	1	0		2	112
1	3	2	3	0	9	9	9	9	9	8	8	9	7	7	7	8	2	5	3	5	6	1	3	3.6	500	1		2	113
1	5	1		1	7	8	8	9	8	8	9	6			8	8	3	2	2	6	7	2	1	7.8	500	1	1	2	114
1	1	1	1	1	6	6	6	6							5	5	1	7	1	1	1	1	1	4.3	100	1	1	2	115
1	2	2	2	0	8	8	8	8				8	8	8	4	9	1	3	3	5	5	1	3		300	1		2	116
1	2	2	2	0	7	7	7	7	7	7	7	7	7	7	1	6	1	1	1	1	1	1	3	7.8	285	1		2	117
